Date/Time,WW; Z108A; Climate Temperature(°F),WW; Z108A; Heating Target(°F),WW; Z108A; Cooling Target(°F),WW; Z108A; Ventilation Required(%),WW; Z108A; Heating Required(%)
2022/01/01 02:00:00,64.60,65.0,75.0,0.00,45.25
2022/01/01 08:00:00,64.90,65.0,75.0,0.00,64.50
2022/01/01 14:00:00,65.20,65.0,75.0,0.00,53.69
2022/01/01 20:00:00,65.00,65.0,75.0,0.00,54.41
2022/01/02 02:00:00,64.90,65.0,75.0,0.00,64.27
2022/01/02 08:00:00,65.00,65.0,75.0,0.00,68.31
2022/01/02 14:00:00,68.70,65.0,75.0,0.00,11.73
2022/01/02 20:00:00,66.40,65.0,75.0,0.00,21.05
2022/01/03 02:00:00,64.90,65.0,75.0,0.00,45.87
2022/01/03 08:00:00,65.10,65.0,75.0,0.00,48.23
2022/01/03 14:00:00,71.30,65.0,75.0,7.26,4.14
2022/01/03 20:00:00,69.30,65.0,75.0,2.92,0.48
2022/01/04 02:00:00,65.00,65.0,75.0,0.00,18.72
2022/01/04 08:00:00,65.10,65.0,75.0,0.00,25.29
2022/01/04 14:00:00,71.20,65.0,75.0,0.68,1.43
2022/01/04 20:00:00,68.00,65.0,75.0,0.00,0.18
2022/01/05 02:00:00,65.00,65.0,75.0,0.00,29.54
2022/01/05 08:00:00,65.00,65.0,75.0,0.00,57.08
2022/01/05 14:00:00,66.80,65.0,75.0,0.00,14.42
2022/01/05 20:00:00,64.90,65.0,75.0,0.00,34.20
2022/01/06 02:00:00,64.80,65.0,75.0,0.00,54.26
2022/01/06 08:00:00,65.10,65.0,75.0,0.00,67.04
2022/01/06 14:00:00,68.00,65.0,75.0,0.00,12.98
2022/01/06 20:00:00,65.90,65.0,75.0,0.00,25.79
2022/01/07 02:00:00,64.90,65.0,75.0,0.00,43.01
2022/01/07 08:00:00,65.00,65.0,75.0,0.00,49.70
2022/01/07 14:00:00,69.00,65.0,75.0, ,0.22
2022/01/07 20:00:00,65.90,65.0,75.0, ,21.44
2022/01/08 02:00:00,64.90,65.0,75.0,0.00,46.98
2022/01/08 08:00:00,65.20,65.0,75.0,0.00,40.53
2022/01/08 14:00:00,66.20,65.0,75.0,0.00,1.64
2022/01/08 20:00:00,66.40,65.0,75.0,0.00,0.91
2022/01/09 02:00:00,65.00,65.0,75.0,0.00,16.61
2022/01/09 08:00:00,64.90,65.0,75.0,0.00,48.85
2022/01/09 14:00:00,70.20,65.0,75.0,0.03,9.09
2022/01/09 20:00:00,68.00,65.0,75.0,0.01,10.41
2022/01/10 02:00:00,64.80,65.0,75.0,0.00,36.47
2022/01/10 08:00:00,65.10,65.0,75.0,0.00,40.00
2022/01/10 14:00:00,71.50,65.0,75.0,7.31,1.98
2022/01/10 20:00:00,69.70,65.0,75.0,3.15,0.47
2022/01/11 02:00:00,65.00,65.0,75.0,0.00,18.00
2022/01/11 08:00:00,65.10,65.0,75.0,0.00,21.42
2022/01/11 14:00:00,72.60,65.0,75.0,21.77,0.43
