"Plot Title: JRR_NH12P"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10934825, SEN S/N: 10934825, LBL: Temp)","Intensity, Lux (LGR S/N: 10934825, SEN S/N: 10934825, LBL: umol)","Coupler Attached (LGR S/N: 10934825)","Host Connected (LGR S/N: 10934825)","Stopped (LGR S/N: 10934825)","End Of File (LGR S/N: 10934825)"
1,05/31/22 01:00:00 PM,25.805,0.0,,,,
2,05/31/22 02:00:00 PM,25.416,12400.1,,,,
3,05/31/22 03:00:00 PM,24.641,12400.1,,,,
4,05/31/22 04:00:00 PM,25.222,12400.1,,,,
5,05/31/22 05:00:00 PM,25.610,13089.0,,,,
6,05/31/22 06:00:00 PM,25.902,13089.0,,,,
7,05/31/22 07:00:00 PM,26.097,12400.1,,,,
8,05/31/22 08:00:00 PM,24.062,6544.5,,,,
9,05/31/22 09:00:00 PM,23.966,8266.7,,,,
10,05/31/22 10:00:00 PM,21.473,3616.7,,,,
11,05/31/22 11:00:00 PM,18.996,0.0,,,,
12,06/01/22 12:00:00 AM,18.236,0.0,,,,
13,06/01/22 01:00:00 AM,17.284,0.0,,,,
14,06/01/22 02:00:00 AM,17.189,0.0,,,,
15,06/01/22 03:00:00 AM,16.808,0.0,,,,
16,06/01/22 04:00:00 AM,16.523,0.0,,,,
17,06/01/22 05:00:00 AM,16.237,0.0,,,,
18,06/01/22 06:00:00 AM,15.951,0.0,,,,
19,06/01/22 07:00:00 AM,16.903,3444.5,,,,
20,06/01/22 08:00:00 AM,18.140,7577.8,,,,
21,06/01/22 09:00:00 AM,18.521,6200.0,,,,
22,06/01/22 10:00:00 AM,21.187,12400.1,,,,
23,06/01/22 11:00:00 AM,22.333,12400.1,,,,
24,06/01/22 12:00:00 PM,23.196,12400.1,,,,
25,06/01/22 01:00:00 PM,23.292,12400.1,,,,
26,06/01/22 02:00:00 PM,24.738,11022.3,,,,
27,06/01/22 03:00:00 PM,24.738,12400.1,,,,
28,06/01/22 04:00:00 PM,25.222,12400.1,,,,
29,06/01/22 05:00:00 PM,25.708,13089.0,,,,
30,06/01/22 06:00:00 PM,25.902,13089.0,,,,
31,06/01/22 07:00:00 PM,26.097,13089.0,,,,
32,06/01/22 08:00:00 PM,24.062,6544.5,,,,
33,06/01/22 09:00:00 PM,23.966,7577.8,,,,
34,06/01/22 10:00:00 PM,21.473,3444.5,,,,
35,06/01/22 11:00:00 PM,18.996,0.0,,,,
36,06/02/22 12:00:00 AM,18.236,0.0,,,,
37,06/02/22 01:00:00 AM,17.284,0.0,,,,
38,06/02/22 02:00:00 AM,17.189,0.0,,,,
39,06/02/22 03:00:00 AM,16.808,0.0,,,,
40,06/02/22 04:00:00 AM,16.523,0.0,,,,
41,06/02/22 05:00:00 AM,16.141,0.0,,,,
