"Plot Title: JR_NH12"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10946908, SEN S/N: 10946908)","RH, % (LGR S/N: 10946908, SEN S/N: 10946908)","Host Connected (LGR S/N: 10946908)","Stopped (LGR S/N: 10946908)","End Of File (LGR S/N: 10946908)"
1,05/29/22 04:08:06 PM,24.731,47.010,,,
2,05/29/22 05:08:06 PM,24.127,70.512,,,
3,05/29/22 06:08:06 PM,24.103,72.281,,,
4,05/29/22 07:08:06 PM,23.333,74.446,,,
5,05/29/22 08:08:06 PM,22.709,75.397,,,
6,05/29/22 09:08:06 PM,21.465,76.962,,,
7,05/29/22 10:08:06 PM,19.464,80.288,,,
8,05/29/22 11:08:06 PM,18.441,81.436,,,
9,05/30/22 12:08:06 AM,17.537,81.239,,,
10,05/30/22 01:08:06 AM,17.085,83.046,,,
11,05/30/22 02:08:06 AM,16.752,82.779,,,
12,05/30/22 03:08:06 AM,16.418,83.034,,,
13,05/30/22 04:08:06 AM,16.108,83.266,,,
14,05/30/22 05:08:06 AM,15.894,83.764,,,
15,05/30/22 06:08:06 AM,16.132,81.760,,,
16,05/30/22 07:08:06 AM,16.704,79.528,,,
17,05/30/22 08:08:06 AM,17.228,80.337,,,
18,05/30/22 09:08:06 AM,18.679,78.319,,,
19,05/30/22 10:08:06 AM,20.154,76.580,,,
20,05/30/22 11:08:06 AM,21.274,75.256,,,
21,05/30/22 12:08:06 PM,21.489,74.721,,,
22,05/30/22 01:08:06 PM,21.871,75.461,,,
23,05/30/22 02:08:06 PM,22.589,74.794,,,
24,05/30/22 03:08:06 PM,22.853,78.078,,,
25,05/30/22 04:08:06 PM,23.405,76.289,,,
26,05/30/22 05:08:06 PM,23.742,75.603,,,
27,05/30/22 06:08:06 PM,23.910,74.676,,,
28,05/30/22 07:08:06 PM,23.261,77.012,,,
29,05/30/22 08:08:06 PM,22.757,76.765,,,
30,05/30/22 09:08:06 PM,21.465,78.277,,,
31,05/30/22 10:08:06 PM,19.487,81.414,,,
32,05/30/22 11:08:06 PM,18.322,83.351,,,
33,05/31/22 12:08:06 AM,17.371,83.000,,,
34,05/31/22 01:08:06 AM,17.014,84.183,,,
35,05/31/22 02:08:06 AM,16.680,83.943,,,
36,05/31/22 03:08:06 AM,16.371,84.173,,,
37,05/31/22 04:08:06 AM,16.180,83.911,,,
38,05/31/22 05:08:06 AM,15.894,84.799,,,
39,05/31/22 06:08:06 AM,16.156,83.030,,,
40,05/31/22 07:08:06 AM,16.680,80.469,,,
41,05/31/22 08:08:06 AM,17.204,81.415,,,
42,05/31/22 09:08:06 AM,18.631,79.183,,,
43,05/31/22 10:08:06 AM,20.154,77.464,,,
44,05/31/22 11:08:06 AM,21.012,76.611,,,
45,05/31/22 12:08:06 PM,21.441,75.664,,,
46,05/31/22 01:08:06 PM,21.895,75.813,,,
47,05/31/22 02:08:06 PM,22.469,75.899,,,
48,05/31/22 03:08:06 PM,23.021,75.662,,,
49,05/31/22 04:08:06 PM,23.429,75.250,,,
50,05/31/22 05:08:06 PM,23.742,75.021,,,
51,05/31/22 06:08:06 PM,24.055,74.412,,,
52,05/31/22 07:08:06 PM,23.285,76.323,,,
53,05/31/22 08:08:06 PM,22.829,76.549,,,
