"Plot Title: JR_EX2all"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20042965, SEN S/N: 20042965, LBL: Temp)","RH, % (LGR S/N: 20042965, SEN S/N: 20042965, LBL: RH)","DewPt, °C (LGR S/N: 20042965, SEN S/N: 20042965)","Host Connected (LGR S/N: 20042965)","Stopped (LGR S/N: 20042965)","End Of File (LGR S/N: 20042965)"
1,05/29/22 04:11:48 PM,24.876,48.503,13.293,,,
2,05/29/22 05:11:48 PM,30.502,49.286,18.692,,,
3,05/29/22 06:11:48 PM,30.780,48.705,18.756,,,
4,05/29/22 07:11:48 PM,28.202,57.113,18.930,,,
5,05/29/22 08:11:48 PM,26.042,63.318,18.553,,,
6,05/29/22 09:11:48 PM,23.165,70.097,17.436,,,
7,05/29/22 10:11:48 PM,19.131,83.366,16.265,,,
8,05/29/22 11:11:48 PM,18.227,84.046,15.507,,,
9,05/30/22 12:11:48 AM,17.180,84.986,14.654,,,
10,05/30/22 01:11:48 AM,17.085,86.081,14.759,,,
11,05/30/22 02:11:48 AM,16.656,86.685,14.446,,,
12,05/30/22 03:11:48 AM,16.394,86.948,14.234,,,
13,05/30/22 04:11:48 AM,16.108,87.042,13.970,,,
14,05/30/22 05:11:48 AM,15.894,87.636,13.863,,,
15,05/30/22 06:11:48 AM,18.393,75.452,13.994,,,
16,05/30/22 07:11:48 AM,20.082,66.400,13.646,,,
17,05/30/22 08:11:48 AM,22.278,60.934,14.399,,,
18,05/30/22 09:11:48 AM,25.701,51.480,14.971,,,
19,05/30/22 10:11:48 AM,26.774,50.316,15.602,,,
20,05/30/22 11:11:48 AM,27.955,49.476,16.421,,,
21,05/30/22 12:11:48 PM,28.177,49.762,16.715,,,
22,05/30/22 01:11:48 PM,28.723,49.285,17.063,,,
23,05/30/22 02:11:48 PM,28.748,50.094,17.344,,,
24,05/30/22 03:11:48 PM,28.202,57.615,19.070,,,
25,05/30/22 04:11:48 PM,28.997,54.891,19.032,,,
26,05/30/22 05:11:48 PM,29.371,53.096,18.845,,,
27,05/30/22 06:11:48 PM,29.671,52.145,18.832,,,
28,05/30/22 07:11:48 PM,27.240,59.780,18.762,,,
29,05/30/22 08:11:48 PM,25.239,66.434,18.561,,,
30,05/30/22 09:11:48 PM,22.685,72.597,17.531,,,
31,05/30/22 10:11:48 PM,19.059,83.572,16.234,,,
