"Plot Title: JRR_NH34P"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20356137, SEN S/N: 20356137, LBL: Temp)","Intensity, Lux (LGR S/N: 20356137, SEN S/N: 20356137, LBL: umol)","Coupler Attached (LGR S/N: 20356137)","Coupler Detached (LGR S/N: 20356137)","Host Connected (LGR S/N: 20356137)","Stopped (LGR S/N: 20356137)","End Of File (LGR S/N: 20356137)"
1,05/31/22 01:00:00 PM,25.708,0.0,,,,,
2,05/31/22 02:00:00 PM,32.394,33066.9,,,,,
3,05/31/22 03:00:00 PM,32.807,34444.7,,,,,
4,05/31/22 04:00:00 PM,33.326,31689.1,,,,,
5,05/31/22 05:00:00 PM,33.535,31689.1,,,,,
6,05/31/22 06:00:00 PM,33.848,33066.9,,,,,
7,05/31/22 07:00:00 PM,30.457,22044.6,,,,,
8,05/31/22 08:00:00 PM,27.665,15844.5,,,,,
9,05/31/22 09:00:00 PM,24.448,10333.4,,,,,
10,05/31/22 10:00:00 PM,19.662,0.0,,,,,
11,05/31/22 11:00:00 PM,18.426,0.0,,,,,
12,06/01/22 12:00:00 AM,17.379,0.0,,,,,
13,06/01/22 01:00:00 AM,17.189,0.0,,,,,
14,06/01/22 02:00:00 AM,16.808,0.0,,,,,
15,06/01/22 03:00:00 AM,16.427,0.0,,,,,
16,06/01/22 04:00:00 AM,16.141,0.0,,,,,
17,06/01/22 05:00:00 AM,15.951,0.0,,,,,
18,06/01/22 06:00:00 AM,19.092,10677.8,,,,,
19,06/01/22 07:00:00 AM,21.378,16533.4,,,,,
20,06/01/22 08:00:00 AM,23.773,21355.7,,,,,
21,06/01/22 09:00:00 AM,28.159,33066.9,,,,,
22,06/01/22 10:00:00 AM,29.252,33066.9,,,,,
23,06/01/22 11:00:00 AM,30.255,33066.9,,,,,
24,06/01/22 12:00:00 PM,30.760,33066.9,,,,,
25,06/01/22 01:00:00 PM,31.166,33066.9,,,,,
26,06/01/22 02:00:00 PM,31.778,31689.1,,,,,
27,06/01/22 03:00:00 PM,31.778,30311.3,,,,,
28,06/01/22 04:00:00 PM,32.188,30311.3,,,,,
29,06/01/22 05:00:00 PM,32.704,30311.3,,,,,
30,06/01/22 06:00:00 PM,33.014,30311.3,,,,,
31,06/01/22 07:00:00 PM,29.752,20666.8,,,,,
32,06/01/22 08:00:00 PM,27.075,14466.8,,,,,
33,06/01/22 09:00:00 PM,24.062,9300.1,,,,,
34,06/01/22 10:00:00 PM,19.662,0.0,,,,,
35,06/01/22 11:00:00 PM,18.426,0.0,,,,,
36,06/02/22 12:00:00 AM,17.379,0.0,,,,,
37,06/02/22 01:00:00 AM,17.094,0.0,,,,,
38,06/02/22 02:00:00 AM,16.808,0.0,,,,,
39,06/02/22 03:00:00 AM,16.427,0.0,,,,,
40,06/02/22 04:00:00 AM,16.141,0.0,,,,,
41,06/02/22 05:00:00 AM,15.855,0.0,,,,,
42,06/02/22 06:00:00 AM,18.806,9300.1,,,,,
43,06/02/22 07:00:00 AM,20.901,15155.7,,,,,
44,06/02/22 08:00:00 AM,23.196,20666.8,,,,,
45,06/02/22 09:00:00 AM,27.468,30311.3,,,,,
46,06/02/22 10:00:00 AM,28.853,30311.3,,,,,
47,06/02/22 11:00:00 AM,29.853,30311.3,,,,,
48,06/02/22 12:00:00 PM,30.255,30311.3,,,,,
49,06/02/22 01:00:00 PM,30.760,30311.3,,,,,
50,06/02/22 02:00:00 PM,31.166,24800.2,,,,,
51,06/02/22 03:00:00 PM,29.252,28933.5,,,,,
52,06/02/22 04:00:00 PM,31.166,28933.5,,,,,
53,06/02/22 05:00:00 PM,32.086,28933.5,,,,,
54,06/02/22 06:00:00 PM,32.600,28933.5,,,,,
55,06/02/22 07:00:00 PM,29.552,20666.8,,,,,
56,06/02/22 08:00:00 PM,26.977,13089.0,,,,,
57,06/02/22 09:00:00 PM,23.966,9300.1,,,,,
58,06/02/22 10:00:00 PM,19.567,0.0,,,,,
59,06/02/22 11:00:00 PM,18.331,0.0,,,,,
60,06/03/22 12:00:00 AM,17.379,0.0,,,,,
61,06/03/22 01:00:00 AM,17.094,0.0,,,,,
62,06/03/22 02:00:00 AM,16.808,0.0,,,,,
63,06/03/22 03:00:00 AM,16.427,0.0,,,,,
64,06/03/22 04:00:00 AM,16.141,0.0,,,,,
65,06/03/22 05:00:00 AM,15.951,0.0,,,,,
66,06/03/22 06:00:00 AM,18.806,8611.2,,,,,
67,06/03/22 07:00:00 AM,20.901,14466.8,,,,,
68,06/03/22 08:00:00 AM,23.196,19289.0,,,,,
69,06/03/22 09:00:00 AM,27.370,28933.5,,,,,
70,06/03/22 10:00:00 AM,28.754,28933.5,,,,,
71,06/03/22 11:00:00 AM,29.652,28933.5,,,,,
72,06/03/22 12:00:00 PM,29.953,28933.5,,,,,
73,06/03/22 01:00:00 PM,30.659,28933.5,,,,,
74,06/03/22 02:00:00 PM,31.268,28933.5,,,,,
75,06/03/22 03:00:00 PM,31.880,24800.2,,,,,
76,06/03/22 04:00:00 PM,32.600,30311.3,,,,,
77,06/03/22 05:00:00 PM,32.911,30311.3,,,,,
78,06/03/22 06:00:00 PM,33.118,31689.1,,,,,
79,06/03/22 07:00:00 PM,29.853,20666.8,,,,,
80,06/03/22 08:00:00 PM,27.075,15844.5,,,,,
81,06/03/22 09:00:00 PM,24.158,10333.4,,,,,
82,06/03/22 10:00:00 PM,19.662,0.0,,,,,
83,06/03/22 11:00:00 PM,18.426,0.0,,,,,
84,06/04/22 12:00:00 AM,17.475,0.0,,,,,
85,06/04/22 01:00:00 AM,17.094,0.0,,,,,
86,06/04/22 02:00:00 AM,16.808,0.0,,,,,
87,06/04/22 03:00:00 AM,16.523,0.0,,,,,
88,06/04/22 04:00:00 AM,16.141,0.0,,,,,
89,06/04/22 05:00:00 AM,15.951,0.0,,,,,
90,06/04/22 06:00:00 AM,18.901,9300.1,,,,,
91,06/04/22 07:00:00 AM,20.996,15155.7,,,,,
92,06/04/22 08:00:00 AM,23.292,19977.9,,,,,
93,06/04/22 09:00:00 AM,27.567,28933.5,,,,,
94,06/04/22 10:00:00 AM,28.953,30311.3,,,,,
95,06/04/22 11:00:00 AM,29.853,28933.5,,,,,
96,06/04/22 12:00:00 PM,31.166,28933.5,,,,,
97,06/04/22 01:00:00 PM,30.457,30311.3,,,,,
