"Plot Title: JRR_exp2CP"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20356140, SEN S/N: 20356140, LBL: Temp)","Intensity, Lux (LGR S/N: 20356140, SEN S/N: 20356140, LBL: umol)","Coupler Attached (LGR S/N: 20356140)","Host Connected (LGR S/N: 20356140)","Stopped (LGR S/N: 20356140)","End Of File (LGR S/N: 20356140)"
1,05/31/22 01:00:00 PM,25.610,0.0,,,,
2,05/31/22 02:00:00 PM,26.195,22044.6,,,,
3,05/31/22 03:00:00 PM,26.488,22044.6,,,,
4,05/31/22 04:00:00 PM,26.977,22044.6,,,,
5,05/31/22 05:00:00 PM,27.272,20666.8,,,,
6,05/31/22 06:00:00 PM,27.961,22044.6,,,,
7,05/31/22 07:00:00 PM,27.764,20666.8,,,,
8,05/31/22 08:00:00 PM,27.468,22044.6,,,,
9,05/31/22 09:00:00 PM,25.222,16533.4,,,,
10,05/31/22 10:00:00 PM,22.717,10333.4,,,,
11,05/31/22 11:00:00 PM,18.616,0.0,,,,
12,06/01/22 12:00:00 AM,17.855,0.0,,,,
13,06/01/22 01:00:00 AM,17.189,0.0,,,,
14,06/01/22 02:00:00 AM,16.523,0.0,,,,
15,06/01/22 03:00:00 AM,16.427,0.0,,,,
16,06/01/22 04:00:00 AM,16.141,0.0,,,,
17,06/01/22 05:00:00 AM,15.855,0.0,,,,
18,06/01/22 06:00:00 AM,15.760,0.0,,,,
19,06/01/22 07:00:00 AM,16.808,4305.6,,,,
20,06/01/22 08:00:00 AM,19.472,13089.0,,,,
21,06/01/22 09:00:00 AM,22.046,19977.9,,,,
22,06/01/22 10:00:00 AM,23.292,20666.8,,,,
23,06/01/22 11:00:00 AM,24.351,19977.9,,,,
24,06/01/22 12:00:00 PM,25.125,20666.8,,,,
25,06/01/22 01:00:00 PM,25.416,20666.8,,,,
26,06/01/22 02:00:00 PM,25.902,20666.8,,,,
27,06/01/22 03:00:00 PM,26.683,22044.6,,,,
28,06/01/22 04:00:00 PM,27.075,22044.6,,,,
29,06/01/22 05:00:00 PM,27.468,20666.8,,,,
30,06/01/22 06:00:00 PM,27.764,22044.6,,,,
31,06/01/22 07:00:00 PM,27.862,20666.8,,,,
32,06/01/22 08:00:00 PM,27.567,22044.6,,,,
33,06/01/22 09:00:00 PM,25.416,16533.4,,,,
34,06/01/22 10:00:00 PM,22.525,9644.5,,,,
35,06/01/22 11:00:00 PM,18.616,0.0,,,,
36,06/02/22 12:00:00 AM,17.665,0.0,,,,
37,06/02/22 01:00:00 AM,17.094,0.0,,,,
38,06/02/22 02:00:00 AM,16.523,0.0,,,,
39,06/02/22 03:00:00 AM,16.523,0.0,,,,
40,06/02/22 04:00:00 AM,16.141,0.0,,,,
41,06/02/22 05:00:00 AM,15.951,0.0,,,,
42,06/02/22 06:00:00 AM,15.664,0.0,,,,
43,06/02/22 07:00:00 AM,16.808,4305.6,,,,
44,06/02/22 08:00:00 AM,19.472,12400.1,,,,
45,06/02/22 09:00:00 AM,21.951,19289.0,,,,
46,06/02/22 10:00:00 AM,23.388,20666.8,,,,
47,06/02/22 11:00:00 AM,24.255,22044.6,,,,
48,06/02/22 12:00:00 PM,24.738,20666.8,,,,
49,06/02/22 01:00:00 PM,25.125,20666.8,,,,
50,06/02/22 02:00:00 PM,25.805,20666.8,,,,
51,06/02/22 03:00:00 PM,25.222,20666.8,,,,
52,06/02/22 04:00:00 PM,26.585,22044.6,,,,
53,06/02/22 05:00:00 PM,27.075,22044.6,,,,
54,06/02/22 06:00:00 PM,27.665,21355.7,,,,
55,06/02/22 07:00:00 PM,27.665,21355.7,,,,
56,06/02/22 08:00:00 PM,27.468,21355.7,,,,
57,06/02/22 09:00:00 PM,25.222,16533.4,,,,
58,06/02/22 10:00:00 PM,22.621,9644.5,,,,
59,06/02/22 11:00:00 PM,18.616,0.0,,,,
60,06/03/22 12:00:00 AM,17.665,0.0,,,,
61,06/03/22 01:00:00 AM,16.999,0.0,,,,
62,06/03/22 02:00:00 AM,16.618,0.0,,,,
63,06/03/22 03:00:00 AM,16.427,0.0,,,,
64,06/03/22 04:00:00 AM,16.046,0.0,,,,
65,06/03/22 05:00:00 AM,15.951,0.0,,,,
66,06/03/22 06:00:00 AM,15.569,0.0,,,,
67,06/03/22 07:00:00 AM,16.713,4477.8,,,,
68,06/03/22 08:00:00 AM,19.472,13089.0,,,,
69,06/03/22 09:00:00 AM,21.951,20666.8,,,,
70,06/03/22 10:00:00 AM,23.388,20666.8,,,,
71,06/03/22 11:00:00 AM,24.158,20666.8,,,,
72,06/03/22 12:00:00 PM,24.738,19977.9,,,,
73,06/03/22 01:00:00 PM,25.028,20666.8,,,,
74,06/03/22 02:00:00 PM,25.708,20666.8,,,,
75,06/03/22 03:00:00 PM,26.390,22044.6,,,,
76,06/03/22 04:00:00 PM,26.879,21355.7,,,,
77,06/03/22 05:00:00 PM,27.468,20666.8,,,,
78,06/03/22 06:00:00 PM,27.567,20666.8,,,,
79,06/03/22 07:00:00 PM,27.665,22044.6,,,,
80,06/03/22 08:00:00 PM,27.370,22044.6,,,,
81,06/03/22 09:00:00 PM,25.222,16533.4,,,,
82,06/03/22 10:00:00 PM,22.812,10333.4,,,,
83,06/03/22 11:00:00 PM,18.616,0.0,,,,
84,06/04/22 12:00:00 AM,17.760,0.0,,,,
85,06/04/22 01:00:00 AM,17.094,0.0,,,,
86,06/04/22 02:00:00 AM,16.523,0.0,,,,
87,06/04/22 03:00:00 AM,16.237,0.0,,,,
88,06/04/22 04:00:00 AM,16.046,0.0,,,,
89,06/04/22 05:00:00 AM,15.855,0.0,,,,
90,06/04/22 06:00:00 AM,15.473,0.0,,,,
91,06/04/22 07:00:00 AM,16.808,4305.6,,,,
92,06/04/22 08:00:00 AM,19.377,13089.0,,,,
93,06/04/22 09:00:00 AM,22.046,19289.0,,,,
94,06/04/22 10:00:00 AM,23.292,19977.9,,,,
95,06/04/22 11:00:00 AM,24.158,20666.8,,,,
96,06/04/22 12:00:00 PM,25.028,18600.1,,,,
97,06/04/22 01:00:00 PM,24.062,20666.8,,,,
98,06/04/22 02:00:00 PM,25.319,22044.6,,,,
99,06/04/22 03:00:00 PM,26.097,20666.8,,,,
100,06/04/22 04:00:00 PM,26.781,21355.7,,,,
101,06/04/22 05:00:00 PM,27.173,20666.8,,,,
102,06/04/22 06:00:00 PM,27.468,20666.8,,,,
103,06/04/22 07:00:00 PM,27.665,20666.8,,,,
104,06/04/22 08:00:00 PM,27.370,21355.7,,,,
105,06/04/22 09:00:00 PM,25.222,15844.5,,,,
106,06/04/22 10:00:00 PM,22.621,10333.4,,,,
107,06/04/22 11:00:00 PM,18.426,0.0,,,,
108,06/05/22 12:00:00 AM,17.665,0.0,,,,
109,06/05/22 01:00:00 AM,16.903,0.0,,,,
110,06/05/22 02:00:00 AM,16.903,0.0,,,,
111,06/05/22 03:00:00 AM,16.427,0.0,,,,
112,06/05/22 04:00:00 AM,16.046,0.0,,,,
113,06/05/22 05:00:00 AM,15.760,0.0,,,,
114,06/05/22 06:00:00 AM,15.473,0.0,,,,
115,06/05/22 07:00:00 AM,16.808,4477.8,,,,
116,06/05/22 08:00:00 AM,19.567,12400.1,,,,
117,06/05/22 09:00:00 AM,21.951,18600.1,,,,
118,06/05/22 10:00:00 AM,23.292,21355.7,,,,
119,06/05/22 11:00:00 AM,24.158,19977.9,,,,
120,06/05/22 12:00:00 PM,24.931,22044.6,,,,
121,06/05/22 01:00:00 PM,25.416,21355.7,,,,
122,06/05/22 02:00:00 PM,25.902,20666.8,,,,
