"Plot Title: JR_H12"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20601213, SEN S/N: 20601213)","RH, % (LGR S/N: 20601213, SEN S/N: 20601213)","DewPt, °C (LGR S/N: 20601213, SEN S/N: 20601213)","Host Connected (LGR S/N: 20601213)","Stopped (LGR S/N: 20601213)","End Of File (LGR S/N: 20601213)"
1,05/29/22 04:03:29 PM,24.973,63.17,17.505,,,
2,05/29/22 05:03:29 PM,38.962,62.70,30.579,,,
3,05/29/22 06:03:29 PM,40.613,59.89,31.321,,,
4,05/29/22 07:03:29 PM,39.839,60.38,30.739,,,
5,05/29/22 08:03:29 PM,36.345,64.33,28.554,,,
6,05/29/22 09:03:29 PM,34.185,62.08,25.909,,,
7,05/29/22 10:03:29 PM,28.029,73.59,22.895,,,
8,05/29/22 11:03:29 PM,23.717,84.59,20.993,,,
9,05/30/22 12:03:29 AM,22.589,83.99,19.772,,,
10,05/30/22 01:03:29 AM,21.226,87.32,19.060,,,
11,05/30/22 02:03:29 AM,21.107,86.12,18.721,,,
12,05/30/22 03:03:29 AM,20.297,87.43,18.165,,,
13,05/30/22 04:03:29 AM,19.797,87.17,17.625,,,
14,05/30/22 05:03:29 AM,19.416,87.39,17.289,,,
15,05/30/22 06:03:29 AM,19.345,86.68,17.090,,,
16,05/30/22 07:03:29 AM,21.752,78.38,17.846,,,
17,05/30/22 08:03:29 AM,24.997,70.75,19.339,,,
18,05/30/22 09:03:29 AM,26.970,70.97,21.281,,,
19,05/30/22 10:03:29 AM,31.978,64.76,24.538,,,
20,05/30/22 11:03:29 AM,34.185,63.01,26.161,,,
21,05/30/22 12:03:29 PM,35.725,62.46,27.464,,,
22,05/30/22 01:03:29 PM,35.940,48.49,23.392,,,
23,05/30/22 02:03:29 PM,38.570,64.40,30.676,,,
24,05/30/22 03:03:29 PM,39.019,65.07,31.284,,,
25,05/30/22 04:03:29 PM,39.982,62.38,31.446,,,
26,05/30/22 05:03:29 PM,40.383,61.61,31.604,,,
27,05/30/22 06:03:29 PM,40.670,61.26,31.773,,,
28,05/30/22 07:03:29 PM,39.725,61.18,30.863,,,
29,05/30/22 08:03:29 PM,36.345,65.59,28.890,,,
30,05/30/22 09:03:29 PM,34.211,62.44,26.031,,,
31,05/30/22 10:03:29 PM,28.054,74.57,23.138,,,
32,05/30/22 11:03:29 PM,23.742,85.30,21.153,,,
33,05/31/22 12:03:29 AM,22.661,84.47,19.934,,,
34,05/31/22 01:03:29 AM,21.250,87.26,19.072,,,
35,05/31/22 02:03:29 AM,21.155,86.74,18.882,,,
36,05/31/22 03:03:29 AM,20.297,87.42,18.162,,,
37,05/31/22 04:03:29 AM,19.844,87.67,17.762,,,
38,05/31/22 05:03:29 AM,19.440,88.33,17.482,,,
39,05/31/22 06:03:29 AM,19.345,86.79,17.110,,,
40,05/31/22 07:03:29 AM,21.895,79.14,18.140,,,
41,05/31/22 08:03:29 AM,25.191,71.03,19.589,,,
42,05/31/22 09:03:29 AM,27.142,70.74,21.394,,,
