"Plot Title: JR_H34_R3"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20601214, SEN S/N: 20601214)","RH, % (LGR S/N: 20601214, SEN S/N: 20601214)","DewPt, °C (LGR S/N: 20601214, SEN S/N: 20601214)","Host Connected (LGR S/N: 20601214)","Stopped (LGR S/N: 20601214)","End Of File (LGR S/N: 20601214)"
1,05/29/22 04:05:18 PM,25.118,55.46,15.592,,,
2,05/29/22 05:05:18 PM,38.208,65.66,30.674,,,
3,05/29/22 06:05:18 PM,38.738,62.80,30.394,,,
4,05/29/22 07:05:18 PM,36.670,65.34,29.131,,,
5,05/29/22 08:05:18 PM,33.373,69.85,27.146,,,
6,05/29/22 09:05:18 PM,29.847,71.97,24.273,,,
7,05/29/22 10:05:18 PM,25.482,78.19,21.430,,,
8,05/29/22 11:05:18 PM,22.949,86.03,20.512,,,
9,05/30/22 12:05:18 AM,21.537,85.91,19.104,,,
10,05/30/22 01:05:18 AM,21.036,90.26,19.403,,,
11,05/30/22 02:05:18 AM,20.368,87.87,18.315,,,
12,05/30/22 03:05:18 AM,19.868,89.32,18.083,,,
13,05/30/22 04:05:18 AM,19.368,90.25,17.753,,,
14,05/30/22 05:05:18 AM,18.988,90.04,17.340,,,
15,05/30/22 06:05:18 AM,19.821,87.37,17.684,,,
16,05/30/22 07:05:18 AM,21.943,80.05,18.368,,,
17,05/30/22 08:05:18 AM,23.573,79.46,19.836,,,
18,05/30/22 09:05:18 AM,27.240,77.52,22.994,,,
19,05/30/22 10:05:18 AM,30.552,72.69,25.117,,,
20,05/30/22 11:05:18 AM,32.440,70.74,26.468,,,
21,05/30/22 12:05:18 PM,33.896,69.91,27.659,,,
22,05/30/22 01:05:18 PM,35.137,69.72,28.798,,,
23,05/30/22 02:05:18 PM,36.102,71.34,30.121,,,
24,05/30/22 03:05:18 PM,36.616,72.07,30.791,,,
25,05/30/22 04:05:18 PM,37.545,70.09,31.190,,,
26,05/30/22 05:05:18 PM,37.931,67.45,30.884,,,
27,05/30/22 06:05:18 PM,37.931,66.66,30.677,,,
28,05/30/22 07:05:18 PM,35.725,69.43,29.287,,,
29,05/30/22 08:05:18 PM,33.191,72.02,27.495,,,
30,05/30/22 09:05:18 PM,29.772,73.80,24.620,,,
31,05/30/22 10:05:18 PM,25.385,79.82,21.674,,,
32,05/30/22 11:05:18 PM,22.901,87.04,20.656,,,
33,05/31/22 12:05:18 AM,21.632,86.82,19.367,,,
34,05/31/22 01:05:18 AM,20.964,91.16,19.492,,,
35,05/31/22 02:05:18 AM,20.487,88.77,18.594,,,
36,05/31/22 03:05:18 AM,19.821,90.12,18.178,,,
37,05/31/22 04:05:18 AM,19.392,90.56,17.831,,,
38,05/31/22 05:05:18 AM,18.940,91.27,17.509,,,
39,05/31/22 06:05:18 AM,19.844,88.19,17.856,,,
40,05/31/22 07:05:18 AM,21.895,80.83,18.477,,,
41,05/31/22 08:05:18 AM,23.549,80.42,20.007,,,
42,05/31/22 09:05:18 AM,27.240,78.15,23.127,,,
43,05/31/22 10:05:18 AM,30.957,62.42,22.961,,,
44,05/31/22 11:05:18 AM,32.337,71.26,26.494,,,
45,05/31/22 12:05:18 PM,33.712,70.92,27.730,,,
46,05/31/22 01:05:18 PM,34.898,70.22,28.694,,,
47,05/31/22 02:05:18 PM,35.967,69.46,29.526,,,
48,05/31/22 03:05:18 PM,36.942,69.59,30.489,,,
49,05/31/22 04:05:18 PM,37.407,69.46,30.900,,,
50,05/31/22 05:05:18 PM,37.820,67.99,30.918,,,
51,05/31/22 06:05:18 PM,37.959,67.00,30.791,,,
52,05/31/22 07:05:18 PM,35.832,69.61,29.434,,,
53,05/31/22 08:05:18 PM,33.243,72.54,27.668,,,
54,05/31/22 09:05:18 PM,29.696,74.57,24.722,,,
55,05/31/22 10:05:18 PM,25.361,80.54,21.797,,,
56,05/31/22 11:05:18 PM,22.925,87.46,20.757,,,
57,06/01/22 12:05:18 AM,21.561,87.25,19.374,,,
58,06/01/22 01:05:18 AM,20.964,90.39,19.355,,,
59,06/01/22 02:05:18 AM,20.487,89.04,18.643,,,
60,06/01/22 03:05:18 AM,19.821,90.16,18.184,,,
61,06/01/22 04:05:18 AM,19.345,90.67,17.804,,,
62,06/01/22 05:05:18 AM,18.940,91.06,17.471,,,
63,06/01/22 06:05:18 AM,19.797,88.12,17.796,,,
64,06/01/22 07:05:18 AM,21.776,81.36,18.465,,,
65,06/01/22 08:05:18 AM,23.501,80.58,19.993,,,
66,06/01/22 09:05:18 AM,27.167,78.53,23.136,,,
67,06/01/22 10:05:18 AM,30.375,74.37,25.332,,,
68,06/01/22 11:05:18 AM,32.260,72.27,26.661,,,
69,06/01/22 12:05:18 PM,33.686,71.12,27.753,,,
70,06/01/22 01:05:18 PM,34.422,58.16,25.031,,,
71,06/01/22 02:05:18 PM,36.129,72.59,30.449,,,
72,06/01/22 03:05:18 PM,36.997,71.04,30.904,,,
73,06/01/22 04:05:18 PM,37.490,69.99,31.113,,,
74,06/01/22 05:05:18 PM,37.986,68.96,31.326,,,
75,06/01/22 06:05:18 PM,37.986,67.60,30.976,,,
76,06/01/22 07:05:18 PM,35.779,70.40,29.581,,,
77,06/01/22 08:05:18 PM,33.243,73.29,27.844,,,
78,06/01/22 09:05:18 PM,29.671,74.90,24.773,,,
79,06/01/22 10:05:18 PM,25.361,81.35,21.960,,,
80,06/01/22 11:05:18 PM,22.901,88.23,20.876,,,
81,06/02/22 12:05:18 AM,21.584,87.92,19.522,,,
82,06/02/22 01:05:18 AM,20.964,91.00,19.464,,,
83,06/02/22 02:05:18 AM,20.392,89.76,18.678,,,
84,06/02/22 03:05:18 AM,19.844,90.76,18.314,,,
85,06/02/22 04:05:18 AM,19.368,91.02,17.889,,,
86,06/02/22 05:05:18 AM,18.917,91.37,17.502,,,
87,06/02/22 06:05:18 AM,19.797,88.49,17.864,,,
88,06/02/22 07:05:18 AM,21.847,81.58,18.579,,,
89,06/02/22 08:05:18 AM,23.525,81.17,20.134,,,
90,06/02/22 09:05:18 AM,27.167,78.95,23.225,,,
91,06/02/22 10:05:18 AM,30.552,74.68,25.572,,,
92,06/02/22 11:05:18 AM,32.286,72.65,26.773,,,
93,06/02/22 12:05:18 PM,33.765,71.04,27.809,,,
94,06/02/22 01:05:18 PM,34.712,54.81,24.307,,,
95,06/02/22 02:05:18 PM,36.129,73.11,30.575,,,
96,06/02/22 03:05:18 PM,36.318,74.50,31.088,,,
97,06/02/22 04:05:18 PM,37.352,72.08,31.501,,,
98,06/02/22 05:05:18 PM,37.738,69.98,31.348,,,
99,06/02/22 06:05:18 PM,37.765,68.73,31.056,,,
100,06/02/22 07:05:18 PM,35.564,71.67,29.686,,,
101,06/02/22 08:05:18 PM,33.191,74.07,27.977,,,
102,06/02/22 09:05:18 PM,29.646,75.87,24.964,,,
103,06/02/22 10:05:18 PM,25.361,81.82,22.056,,,
104,06/02/22 11:05:18 PM,22.853,88.65,20.906,,,
105,06/03/22 12:05:18 AM,21.561,88.37,19.581,,,
106,06/03/22 01:05:18 AM,20.988,91.87,19.640,,,
107,06/03/22 02:05:18 AM,20.487,90.14,18.841,,,
108,06/03/22 03:05:18 AM,19.844,90.83,18.327,,,
109,06/03/22 04:05:18 AM,19.345,91.69,17.982,,,
110,06/03/22 05:05:18 AM,18.940,91.68,17.579,,,
111,06/03/22 06:05:18 AM,19.844,89.14,18.026,,,
112,06/03/22 07:05:18 AM,21.871,82.17,18.716,,,
113,06/03/22 08:05:18 AM,23.477,81.12,20.078,,,
