"Plot Title: JR_R2_NH_1_4"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10946911, SEN S/N: 10946911, LBL: Temp C)","RH, % (LGR S/N: 10946911, SEN S/N: 10946911, LBL: RH%)","DewPt, °C (LGR S/N: 10946911, SEN S/N: 10946911)","Safe Shutdown - Low Battery (LGR S/N: 10946911)","Stopped (LGR S/N: 10946911)","End Of File (LGR S/N: 10946911)"
1,05/30/22 10:09:23 AM,23.766,54.240,13.990,,,
2,05/30/22 11:09:23 AM,24.296,59.168,15.837,,,
3,05/30/22 12:09:23 PM,23.621,61.364,15.773,,,
4,05/30/22 01:09:23 PM,24.103,62.236,16.449,,,
5,05/30/22 02:09:23 PM,24.803,62.900,17.278,,,
6,05/30/22 03:09:23 PM,23.165,1.000,-35.874,,,
7,05/30/22 04:09:23 PM,23.766,1.000,-35.514,,,
8,05/30/22 05:09:23 PM,25.385,1.000,-34.545,,,
9,05/30/22 06:09:23 PM,26.139,62.722,18.494,,,
10,05/30/22 07:09:23 PM,26.799,60.641,18.576,,,
11,05/30/22 08:09:23 PM,26.285,60.683,18.104,,,
12,05/30/22 09:09:23 PM,24.368,63.590,17.039,,,
13,05/30/22 10:09:23 PM,22.086,65.467,15.332,,,
14,05/30/22 11:09:23 PM,18.655,69.470,12.977,,,
15,05/31/22 12:09:23 AM,17.846,73.913,13.149,,,
16,05/31/22 01:09:23 AM,16.990,72.971,12.127,,,
17,05/31/22 02:09:23 AM,16.680,69.858,11.170,,,
18,05/31/22 03:09:23 AM,16.418,73.288,11.642,,,
19,05/31/22 04:09:23 AM,16.085,72.680,11.195,,,
20,05/31/22 05:09:23 AM,15.870,73.294,11.115,,,
21,05/31/22 06:09:23 AM,15.464,73.243,10.713,,,
22,05/31/22 07:09:23 AM,16.561,69.488,10.976,,,
23,05/31/22 08:09:23 AM,18.750,66.166,12.324,,,
24,05/31/22 09:09:23 AM,20.988,63.026,13.702,,,
25,05/31/22 10:09:23 AM,22.445,62.057,14.840,,,
26,05/31/22 11:09:23 AM,19.749,1.000,-37.927,,,
27,05/31/22 12:09:23 PM,21.274,1.000,-37.009,,,
28,05/31/22 01:09:23 PM,22.326,1.016,-36.218,,,
29,05/31/22 02:09:23 PM,23.165,1.030,-35.577,,,
30,05/31/22 03:09:23 PM,24.924,1.060,-34.236,,,
31,05/31/22 04:09:23 PM,25.531,1.070,-33.774,,,
32,05/31/22 05:09:23 PM,25.774,1.074,-33.590,,,
33,05/31/22 06:09:23 PM,26.407,1.085,-33.109,,,
34,05/31/22 07:09:23 PM,26.481,1.086,-33.053,,,
35,05/31/22 08:09:23 PM,26.115,1.080,-33.331,,,
36,05/31/22 09:09:23 PM,24.392,1.051,-34.640,,,
37,05/31/22 10:09:23 PM,21.895,1.009,-36.547,,,
38,05/31/22 11:09:23 PM,18.702,1.000,-38.559,,,
39,06/01/22 12:09:23 AM,17.894,1.000,-39.047,,,
40,06/01/22 01:09:23 AM,16.918,1.000,-39.638,,,
41,06/01/22 02:09:23 AM,16.514,1.000,-39.883,,,
42,06/01/22 03:09:23 AM,16.490,1.000,-39.898,,,
43,06/01/22 04:09:23 AM,16.013,1.000,-40.187,,,
44,06/01/22 05:09:23 AM,15.822,1.000,-40.303,,,
45,06/01/22 06:09:23 AM,15.655,1.000,-40.404,,,
46,06/01/22 07:09:23 AM,16.490,1.000,-39.898,,,
47,06/01/22 08:09:23 AM,18.607,1.000,-38.616,,,
48,06/01/22 09:09:23 AM,20.797,1.000,-37.296,,,
49,06/01/22 10:09:23 AM,22.039,1.000,-36.549,,,
50,06/01/22 11:09:23 AM,23.045,1.000,-35.946,,,
51,06/01/22 12:09:23 PM,23.573,1.000,-35.629,,,
52,06/01/22 01:09:23 PM,23.934,1.000,-35.413,,,
53,06/01/22 02:09:23 PM,24.586,1.000,-35.023,,,
54,06/01/22 03:09:23 PM,25.239,1.000,-34.632,,,
55,06/01/22 04:09:23 PM,25.725,1.000,-34.342,,,
56,06/01/22 05:09:23 PM,26.090,1.000,-34.124,,,
57,06/01/22 06:09:23 PM,26.432,1.000,-33.921,,,
58,06/01/22 07:09:23 PM,26.383,1.000,-33.950,,,
59,06/01/22 08:09:23 PM,26.042,1.000,-34.154,,,
60,06/01/22 09:09:23 PM,24.344,1.000,-35.167,,,
61,06/01/22 10:09:23 PM,21.919,1.000,-36.621,,,
62,06/01/22 11:09:23 PM,18.726,1.000,-38.544,,,
63,06/02/22 12:09:23 AM,17.775,1.000,-39.119,,,
64,06/02/22 01:09:23 AM,16.966,1.000,-39.609,,,
65,06/02/22 02:09:23 AM,16.609,1.000,-39.826,,,
66,06/02/22 03:09:23 AM,16.394,1.000,-39.956,,,
67,06/02/22 04:09:23 AM,16.132,1.000,-40.115,,,
68,06/02/22 05:09:23 AM,15.798,1.000,-40.317,,,
69,06/02/22 06:09:23 AM,15.631,1.000,-40.419,,,
70,06/02/22 07:09:23 AM,16.609,1.000,-39.826,,,
71,06/02/22 08:09:23 AM,18.631,1.000,-38.602,,,
72,06/02/22 09:09:23 AM,20.869,1.000,-37.253,,,
73,06/02/22 10:09:23 AM,22.110,1.000,-36.506,,,
74,06/02/22 11:09:23 AM,23.069,1.000,-35.931,,,
75,06/02/22 12:09:23 PM,23.573,1.037,-35.265,,,
76,06/02/22 01:09:23 PM,23.934,1.000,-35.413,,,
77,06/02/22 02:09:23 PM,24.561,4.497,-18.790,,,
78,06/02/22 03:09:23 PM,24.079,1.000,-35.326,,,
79,06/02/22 04:09:23 PM,25.361,1.000,-34.560,,,
80,06/02/22 05:09:23 PM,25.895,1.000,-34.241,,,
81,06/02/22 06:09:23 PM,26.261,1.000,-34.023,,,
82,06/02/22 07:09:23 PM,26.359,1.000,-33.964,,,
83,06/02/22 08:09:23 PM,26.066,1.079,-33.368,,,
84,06/02/22 09:09:23 PM,24.248,1.049,-34.751,,,
85,06/02/22 10:09:23 PM,21.919,1.009,-36.529,,,
86,06/02/22 11:09:23 PM,18.560,1.000,-38.645,,,
